agency_id,line_id,operational_day,total_trip_count,pass_trip_count,pass_trip_percentage
41,1122,20241001,18,13,0.7222222222222222
41,1123,20241001,59,46,0.7796610169491526
41,1124,20241001,27,27,1
41,1125,20241001,14,14,1
41,1201,20241001,10,10,1
41,1204,20241001,45,44,0.9777777777777777
41,1205,20241001,51,49,0.9607843137254902
41,1206,20241001,60,58,0.9666666666666667
41,1208,20241001,18,18,1
41,1209,20241001,68,65,0.9558823529411765
41,1210,20241001,19,18,0.9473684210526315
41,1211,20241001,78,76,0.9743589743589743
41,1212,20241001,111,105,0.9459459459459459
41,1213,20241001,40,40,1
41,1215,20241001,16,14,0.875
41,1216,20241001,25,23,0.92
41,1217,20241001,66,54,0.8181818181818182
41,1218,20241001,57,52,0.9122807017543859
41,1219,20241001,59,54,0.9152542372881356
41,1220,20241001,15,15,1
41,1221,20241001,26,26,1
41,1222,20241001,28,28,1
41,1223,20241001,58,57,0.9827586206896551
41,1224,20241001,24,22,0.9166666666666666
41,1225,20241001,7,7,1
41,1226,20241001,78,76,0.9743589743589743
41,1228,20241001,26,23,0.8846153846153846
41,1229,20241001,45,44,0.9777777777777777
41,1230,20241001,42,35,0.8333333333333334
41,1231,20241001,4,4,1
41,1232,20241001,28,26,0.9285714285714286
41,1233,20241001,7,7,1
41,1234,20241001,43,41,0.9534883720930233
41,1235,20241001,46,44,0.9565217391304348
41,1236,20241001,39,36,0.9230769230769231
41,1240,20241001,29,29,1
41,1241,20241001,48,46,0.9583333333333334
41,1242,20241001,40,40,1
41,1244,20241001,2,2,1
41,1245,20241001,56,56,1
41,1247,20241001,21,21,1
41,1248,20241001,63,61,0.9682539682539683
41,1249,20241001,58,58,1
41,1250,20241001,21,21,1
41,1251,20241001,69,66,0.9565217391304348
41,1252,20241001,45,43,0.9555555555555556
41,1253,20241001,35,25,0.7142857142857143
41,1254,20241001,52,52,1
41,1255,20241001,20,20,1
41,1501,20241001,20,16,0.8
41,1502,20241001,97,94,0.9690721649484536
41,1503,20241001,43,39,0.9069767441860465
41,1506,20241001,33,33,1
41,1507,20241001,42,35,0.8333333333333334
41,1508,20241001,22,22,1
41,1509,20241001,43,35,0.813953488372093
41,1510,20241001,64,61,0.953125
41,1511,20241001,21,21,1
41,1512,20241001,26,26,1
41,1513,20241001,29,29,1
41,1514,20241001,58,54,0.9310344827586207
41,1515,20241001,1,1,1
41,1516,20241001,32,32,1
41,1517,20241001,44,42,0.9545454545454546
41,1518,20241001,80,79,0.9875
41,1519,20241001,39,39,1
41,1520,20241001,14,13,0.9285714285714286
41,1521,20241001,6,5,0.8333333333333334
41,1522,20241001,46,38,0.8260869565217391
41,1523,20241001,70,69,0.9857142857142858
41,1524,20241001,48,47,0.9791666666666666
41,1525,20241001,80,73,0.9125
41,1527,20241001,45,42,0.9333333333333333
41,1528,20241001,34,34,1
41,1529,20241001,45,44,0.9777777777777777
41,1530,20241001,6,6,1
41,1531,20241001,5,4,0.8
41,1601,20241001,85,82,0.9647058823529412
41,1603,20241001,28,28,1
41,1604,20241001,86,80,0.9302325581395349
41,1605,20241001,12,12,1
41,1606,20241001,29,29,1
41,1608,20241001,62,62,1
41,1609,20241001,6,6,1
41,1610,20241001,34,28,0.8235294117647058
41,1611,20241001,11,11,1
41,1612,20241001,40,40,1
41,1613,20241001,32,31,0.96875
41,1614,20241001,69,68,0.9855072463768116
41,1615,20241001,42,41,0.9761904761904762
41,1616,20241001,58,51,0.8793103448275862
41,1617,20241001,55,54,0.9818181818181818
41,1622,20241001,61,59,0.9672131147540983
41,1623,20241001,47,47,1
41,1624,20241001,60,60,1
41,1625,20241001,59,59,1
41,1626,20241001,24,24,1
41,1627,20241001,29,26,0.896551724137931
41,1628,20241001,12,12,1
41,1629,20241001,28,28,1
41,1630,20241001,14,14,1
41,1631,20241001,31,30,0.967741935483871
41,1632,20241001,24,24,1
41,1633,20241001,41,41,1
41,1634,20241001,19,19,1
41,1635,20241001,41,39,0.9512195121951219
41,1636,20241001,39,37,0.9487179487179487
41,1637,20241001,18,16,0.8888888888888888
41,1638,20241001,58,58,1
41,1703,20241001,78,78,1
41,1704,20241001,54,50,0.9259259259259259
41,1706,20241001,97,95,0.979381443298969
41,1707,20241001,86,79,0.9186046511627907
41,1708,20241001,10,10,1
41,1709,20241001,145,133,0.9172413793103448
41,1710,20241001,95,94,0.9894736842105263
41,1711,20241001,66,64,0.9696969696969697
41,1712,20241001,57,52,0.9122807017543859
41,1713,20241001,55,48,0.8727272727272727
41,1714,20241001,92,90,0.9782608695652174
41,1715,20241001,98,97,0.9897959183673469
41,1716,20241001,66,61,0.9242424242424242
41,1717,20241001,95,93,0.9789473684210527
41,1718,20241001,24,22,0.9166666666666666
41,1719,20241001,33,32,0.9696969696969697
41,1720,20241001,78,65,0.8333333333333334
41,1721,20241001,96,92,0.9583333333333334
41,1722,20241001,49,49,1
41,1723,20241001,65,59,0.9076923076923077
41,1724,20241001,87,83,0.9540229885057471
41,1725,20241001,18,18,1
41,1726,20241001,48,47,0.9791666666666666
41,1728,20241001,7,7,1
41,1729,20241001,19,19,1
41,1730,20241001,13,13,1
41,1731,20241001,20,19,0.95
41,1733,20241001,34,34,1
41,1998,20241001,53,53,1
42,2002,20241001,4,4,1
42,2003,20241001,23,22,0.9565217391304348
42,2004,20241001,14,11,0.7857142857142857
42,2006,20241001,30,24,0.8
42,2008,20241001,14,10,0.7142857142857143
42,2011,20241001,20,20,1
42,2013,20241001,2,2,1
42,2014,20241001,6,6,1
42,2015,20241001,2,2,1
42,2016,20241001,16,16,1
42,2017,20241001,4,3,0.75
42,2020,20241001,21,20,0.9523809523809523
42,2026,20241001,30,30,1
42,2027,20241001,10,10,1
42,2028,20241001,9,9,1
42,2029,20241001,41,41,1
42,2030,20241001,38,37,0.9736842105263158
42,2031,20241001,35,35,1
42,2032,20241001,18,18,1
42,2034,20241001,20,19,0.95
42,2035,20241001,17,15,0.8823529411764706
42,2036,20241001,8,8,1
42,2037,20241001,16,15,0.9375
42,2038,20241001,9,9,1
42,2039,20241001,29,29,1
42,2101,20241001,2,2,1
42,2102,20241001,2,2,1
42,2103,20241001,13,13,1
42,2106,20241001,13,13,1
42,2107,20241001,3,3,1
42,2108,20241001,5,5,1
42,2109,20241001,3,3,1
42,2110,20241001,5,5,1
42,2111,20241001,2,2,1
42,2112,20241001,2,2,1
42,2113,20241001,2,2,1
42,2114,20241001,2,2,1
42,2115,20241001,2,2,1
42,2116,20241001,2,2,1
42,2117,20241001,17,17,1
42,2118,20241001,7,6,0.8571428571428571
42,2119,20241001,4,4,1
42,2120,20241001,8,7,0.875
42,2121,20241001,4,4,1
42,2122,20241001,1,0,0
42,2124,20241001,6,5,0.8333333333333334
42,2125,20241001,10,9,0.9
42,2126,20241001,32,31,0.96875
42,2127,20241001,1,1,1
42,2128,20241001,3,2,0.6666666666666666
42,2129,20241001,1,1,1
42,2130,20241001,2,2,1
42,2131,20241001,1,1,1
42,2132,20241001,2,2,1
42,2133,20241001,10,10,1
42,2134,20241001,4,3,0.75
42,2135,20241001,11,10,0.9090909090909091
42,2136,20241001,10,10,1
42,2137,20241001,2,2,1
42,2138,20241001,2,2,1
42,2139,20241001,2,2,1
42,2140,20241001,2,2,1
42,2141,20241001,12,12,1
42,2142,20241001,12,11,0.9166666666666666
42,2144,20241001,4,4,1
42,2145,20241001,2,2,1
42,2146,20241001,7,7,1
42,2147,20241001,2,2,1
42,2148,20241001,2,2,1
42,2149,20241001,2,2,1
42,2150,20241001,2,2,1
42,2151,20241001,8,7,0.875
42,2152,20241001,6,6,1
42,2201,20241001,7,7,1
42,2202,20241001,47,46,0.9787234042553191
42,2203,20241001,27,26,0.9629629629629629
42,2204,20241001,12,12,1
42,2205,20241001,4,4,1
42,2206,20241001,40,40,1
42,2207,20241001,50,47,0.94
42,2208,20241001,15,15,1
42,2209,20241001,37,35,0.9459459459459459
42,2210,20241001,14,14,1
42,2211,20241001,5,5,1
42,2212,20241001,37,35,0.9459459459459459
42,2213,20241001,7,7,1
42,2215,20241001,64,58,0.90625
42,2216,20241001,32,31,0.96875
42,2217,20241001,20,19,0.95
42,2218,20241001,34,33,0.9705882352941176
42,2219,20241001,37,36,0.972972972972973
42,2220,20241001,20,19,0.95
42,2221,20241001,5,4,0.8
42,2222,20241001,26,26,1
42,2223,20241001,40,40,1
42,2224,20241001,23,23,1
42,2225,20241001,18,18,1
42,2303,20241001,165,162,0.9818181818181818
42,2304,20241001,4,4,1
42,2306,20241001,35,35,1
42,2307,20241001,28,28,1
42,2309,20241001,38,38,1
42,2310,20241001,38,38,1
42,2315,20241001,9,6,0.6666666666666666
42,2316,20241001,3,3,1
42,2317,20241001,44,44,1
42,2318,20241001,34,33,0.9705882352941176
42,2319,20241001,4,2,0.5
42,2325,20241001,19,17,0.8947368421052632
42,2327,20241001,37,37,1
42,2328,20241001,56,56,1
42,2329,20241001,12,12,1
42,2331,20241001,60,59,0.9833333333333333
42,2333,20241001,61,60,0.9836065573770492
42,2335,20241001,35,34,0.9714285714285714
42,2336,20241001,34,33,0.9705882352941176
42,2337,20241001,30,30,1
42,2502,20241001,6,6,1
42,2504,20241001,6,6,1
42,2505,20241001,14,12,0.8571428571428571
42,2506,20241001,6,5,0.8333333333333334
42,2511,20241001,19,19,1
42,2513,20241001,18,18,1
42,2515,20241001,51,51,1
42,2516,20241001,9,9,1
42,2517,20241001,4,4,1
42,2518,20241001,30,30,1
42,2519,20241001,1,1,1
42,2521,20241001,1,1,1
42,2522,20241001,58,57,0.9827586206896551
42,2523,20241001,20,20,1
42,2524,20241001,29,29,1
42,2525,20241001,21,20,0.9523809523809523
42,2530,20241001,23,22,0.9565217391304348
42,2532,20241001,46,46,1
42,2533,20241001,23,23,1
42,2534,20241001,12,11,0.9166666666666666
42,2535,20241001,6,6,1
42,2536,20241001,21,21,1
42,2537,20241001,48,48,1
42,2538,20241001,12,12,1
42,2539,20241001,17,14,0.8235294117647058
42,2540,20241001,16,16,1
42,2601,20241001,61,61,1
42,2605,20241001,50,49,0.98
42,2610,20241001,27,27,1
42,2611,20241001,18,18,1
42,2620,20241001,11,10,0.9090909090909091
42,2621,20241001,7,7,1
42,2625,20241001,4,4,1
42,2626,20241001,24,24,1
42,2627,20241001,8,7,0.875
42,2630,20241001,21,21,1
42,2632,20241001,52,52,1
42,2701,20241001,33,32,0.9696969696969697
42,2703,20241001,48,43,0.8958333333333334
42,2706,20241001,115,114,0.991304347826087
42,2708,20241001,114,112,0.9824561403508771
42,2709,20241001,8,8,1
42,2710,20241001,56,50,0.8928571428571429
42,2711,20241001,124,124,1
42,2713,20241001,57,55,0.9649122807017544
42,2714,20241001,22,19,0.8636363636363636
42,2715,20241001,16,15,0.9375
42,2716,20241001,8,8,1
42,2717,20241001,24,23,0.9583333333333334
42,2718,20241001,23,23,1
42,2719,20241001,28,28,1
42,2720,20241001,34,31,0.9117647058823529
42,2722,20241001,70,68,0.9714285714285714
42,2723,20241001,13,13,1
42,2724,20241001,11,11,1
42,2725,20241001,103,103,1
42,2726,20241001,10,10,1
