Product_id;Name;is_person_transport_title;is_junior;is_senior
 id-prod-navegante-almada-418a; navegante® Almada Sub18/Sub23 (A);True;True;False
 id-prod-navegante-amadora-familia; navegante® Amadora Família;True;False;False
 id-prod-navegante-amadora-acv; navegante® Amadora Antigo Combatente;True;False;True
 id-prod-navegante-amadora-418; navegante® Amadora Sub18/Sub23;True;True;False
 id-prod-navegante-amadora-social; navegante® Amadora cPT B;True;False;False
 id-prod-navegante-amadora-sociala; navegante® Amadora cPT A;True;False;False
 id-prod-navegante-amadora-418a; navegante® Amadora Sub18/Sub23 (A);True;True;False
 id-prod-navegante-barreiro-familia; navegante® Barreiro Família;True;False;False
 id-prod-navegante-barreiro-acv; navegante® Barreiro Antigo Combatente;True;False;True
 id-prod-navegante-barreiro-418; navegante® Barreiro Sub18/Sub23;True;True;False
 id-prod-navegante-barreiro-social; navegante® Barreiro cPT B;True;False;False
 id-prod-navegante-barreiro-sociala; navegante® Barreiro cPT A;True;False;False
 id-prod-navegante-barreiro-418a; navegante® Barreiro Sub18/Sub23 (A);True;True;False
 id-prod-navegante-cascais-familia; navegante® Cascais Família;True;False;False
 id-prod-navegante-cascais-acv; navegante® Cascais Antigo Combatente;True;False;True
 id-prod-navegante-cascais-418; navegante® Cascais Sub18/Sub23;True;True;False
 id-prod-navegante-cascais-social; navegante® Cascais cPT B;True;False;False
 id-prod-navegante-cascais-sociala; navegante® Cascais cPT A;True;False;False
 id-prod-navegante-cascais-418a; navegante® Cascais Sub18/Sub23 (A);True;True;False
 id-prod-navegante-lisboa-familia; navegante® Lisboa Família;True;False;False
 id-prod-navegante-lisboa-acv; navegante® Lisboa Antigo Combatente;True;False;True
 id-prod-navegante-lisboa-418; navegante® Lisboa Sub18/Sub23;True;True;False
 id-prod-navegante-lisboa-418-gl; navegante® Lisboa Sub18/Sub23 GL;True;True;False
 id-prod-navegante-lisboa-social; navegante® Lisboa cPT B;True;False;False
 id-prod-navegante-lisboa-sociala; navegante® Lisboa cPT A;True;False;False
 id-prod-navegante-lisboa-418a; navegante® Lisboa Sub18/Sub23 (A);True;True;False
