verification_status,status,id,name,lat,lon,area,locality,municipality_id,municipality_name,district_id,district_name,region_id,region_name,display_mode,stops
verificado,ok,152,R. Oliveira Martins 7,38.767249,-9.232002,1,Amadora,1115,Amadora,11,Lisboa,PT170,AML,arrivals,030135
verificado,ok,153,Av. Cardoso Lopes 27,38.760690,-9.237166,1,Amadora,1115,Amadora,11,Lisboa,PT170,AML,arrivals,030843|030687|030842|030119
verificado,ok,154,Relobeira (Estação),38.750373,-9.221809,1,Amadora,1115,Amadora,11,Lisboa,PT170,AML,departures,030861
verificado,ok,156,Avenida Bocage - Supermercado,38.656252,-9.060198,4,Barreiro,1504,Barreiro,15,Setúbal,PT170,AML,arrivals,040006
verificado,ok,157,Avenida Bocage - Ft Supermercado,38.656448,-9.060372,4,Barreiro,1504,Barreiro,15,Setúbal,PT170,AML,arrivals,040005
verificado,ok,158,Coina (Zona Comercial),38.581492,-9.044231,4,Coina,1504,Barreiro,15,Setúbal,PT170,AML,arrivals,040118
verificado,ok,159,Coina (Ft. Zona Comercial),38.581298,-9.044128,4,Coina,1504,Barreiro,15,Setúbal,PT170,AML,arrivals,040119
verificado,ok,205,Quinta Casal da Pipa (Centro Comercial),38.819937,-9.176507,2,Loures,1107,Loures,11,Lisboa,PT170,AML,arrivals,070470
verificado,ok,207,Ft. Escola Básica Frielas,38.825643,-9.143003,2,Frielas,1107,Loures,11,Lisboa,PT170,AML,arrivals,070495
verificado,ok,208,Largo Marcos Romão Reis Junior,38.828903,-9.166948,2,Loures,1107,Loures,11,Lisboa,PT170,AML,arrivals,070032
verificado,ok,209,Rua da República (Campo de Futebol),38.828624,-9.165098,2,Loures,1107,Loures,11,Lisboa,PT170,AML,arrivals,070250
verificado,ok,210,R. da República (Escola),38.828011,-9.164238,2,Loures,1107,Loures,11,Lisboa,PT170,AML,arrivals,070035
verificado,ok,211,Av. Moscavide (Igreja),38.779477,-9.102591,2,Moscavide,1107,Loures,11,Lisboa,PT170,AML,arrivals,070585
verificado,ok,212,Praça da República,38.796165,-9.105363,2,Sacavém,1107,Loures,11,Lisboa,PT170,AML,arrivals,071295|070121
verificado,ok,213,N115 (X) R. Marechal Carmona,38.842509,-9.162942,2,Loures,1107,Loures,11,Lisboa,PT170,AML,arrivals,070538
verificado,ok,214,Av. das Descobertas (Supermercado),38.841744,-9.161322,2,Loures,1107,Loures,11,Lisboa,PT170,AML,arrivals,070443
verificado,ok,215,Avenida das Descobertas Frente 73,38.837173,-9.157262,2,Infantado,1107,Loures,11,Lisboa,PT170,AML,arrivals,070383
verificado,ok,217,R. da República (Jardim),38.831853,-9.171529,2,Loures,1107,Loures,11,Lisboa,PT170,AML,arrivals,070027
verificado,ok,218,Rua Professor Egas Moniz (Centro de Saúde),38.825439,-9.163079,2,Loures,1107,Loures,11,Lisboa,PT170,AML,arrivals,070043
verificado,ok,219,N8 (X) Av. Salgado Zenha,38.806839,-9.157564,2,Santo António dos Cavaleiros,1107,Loures,11,Lisboa,PT170,AML,arrivals,071134
verificado,ok,220,Av. do Ralis (Supermercado),38.785105,-9.117031,2,Portela,1107,Loures,11,Lisboa,PT170,AML,arrivals,071412
verificado,sticker_missing,221,R. Mouzinho de Albuquerque (X) R. dos Actores,38.785592,-9.111522,2,Portela,1107,Loures,11,Lisboa,PT170,AML,arrivals,070595
verificado,ok,223,Largo 5 de Outubro,38.889378,-9.206637,2,Lousa,1107,Loures,11,Lisboa,PT170,AML,arrivals,071092
verificado,ok,226,Largo 25 de Abril,38.903381,-9.190229,2,Milharado,1107,Loures,11,Lisboa,PT170,AML,arrivals,070212
verificado,ok,228,R. Cmdt. Carvalho Araujo Ft. 124,38.842435,-9.178154,2,Loures,1107,Loures,11,Lisboa,PT170,AML,arrivals,070238
verificado,ok,229,R. Vergílio Ferreira (Escola),38.810281,-9.175637,2,Santo António dos Cavaleiros,1107,Loures,11,Lisboa,PT170,AML,arrivals,070327
verificado,ok,230,Av. Mq. de Marialva (Quiosque),38.813093,-9.157045,2,Santo António dos Cavaleiros,1107,Loures,11,Lisboa,PT170,AML,arrivals,070313
verificado,ok,231,R. 1º de Maio Ft. 74,38.858515,-9.130498,2,São Julião do Tojal,1107,Loures,11,Lisboa,PT170,AML,arrivals,070844
verificado,ok,232,R. D. Afonso Henriques (Ft. Centro Comercial),38.822475,-9.098282,2,São João da Talha,1107,Loures,11,Lisboa,PT170,AML,arrivals,070740
verificado,ok,233,Santa Iria (Estação),38.841272,-9.080331,2,Santa Iria da Azoia,1107,Loures,11,Lisboa,PT170,AML,arrivals,070707
verificado,ok,234,R. Mártires do Tarrafal 43,38.808784,-9.102214,2,Bobadela,1107,Loures,11,Lisboa,PT170,AML,arrivals,070793
verificado,ok,235,R. Guilherme Gomes Fernandes Ft.37,38.801640,-9.128815,2,Camarate,1107,Loures,11,Lisboa,PT170,AML,arrivals,070625
verificado,ok,236,Av. das Forças Armadas (Ft. Pq. Desportivo),38.814902,-9.118423,2,Unhos,1107,Loures,11,Lisboa,PT170,AML,arrivals,071329
verificado,ok,237,EN250 (Ft. Quiosque),38.813631,-9.132031,2,Apelação,1107,Loures,11,Lisboa,PT170,AML,arrivals,070503
verificado,ok,238,Av. Severiano Falcão (X) R. José Fonseca Carvalho,38.789523,-9.124718,2,Prior Velho,1107,Loures,11,Lisboa,PT170,AML,arrivals,071431
verificado,ok,239,Pq. Intermodal Alto da Vela,38.932872,-9.326702,2,Mafra,1109,Mafra,11,Lisboa,PT170,AML,arrivals,080348|080347
verificado,ok,240,Lgo. de Snato António,38.959000,-9.351339,2,Mafra,1109,Mafra,11,Lisboa,PT170,AML,arrivals,080113
verificado,ok,241,R. 5 de Outubro,38.958914,-9.352969,2,Mafra,1109,Mafra,11,Lisboa,PT170,AML,arrivals,080114
verificado,ok,242,Pq. Intermodal de Mafra,38.940426,-9.335124,2,Mafra,1109,Mafra,11,Lisboa,PT170,AML,arrivals,080208|082322|082321|082320|080207
verificado,ok,243,Av. de Portugal (X) R. Adriano Paulo Costa Capote,38.945750,-9.354808,2,Mafra,1109,Mafra,11,Lisboa,PT170,AML,arrivals,080861
verificado,ok,244,Vendo do Pinheiro Eco Parque,38.927450,-9.237143,2,Vendo do Pinheiro,1109,Mafra,11,Lisboa,PT170,AML,arrivals,080271|082005|082004
verificado,ok,245,Vendo do Pinheiro Eco Parque,38.927523,-9.236676,2,Vendo do Pinheiro,1109,Mafra,11,Lisboa,PT170,AML,arrivals,080272|082001|082003
verificado,ok,246,R. 25 de Abril Ft. 18,38.930560,-9.254975,2,Malveira,1109,Mafra,11,Lisboa,PT170,AML,arrivals,080283
verificado,ok,247,R. 25 de Abril 28,38.929869,-9.256424,2,Malveira,1109,Mafra,11,Lisboa,PT170,AML,arrivals,080281
verificado,ok,249,Pq. Intermodal da Ericeira,38.967230,-9.405684,2,Ericeira,1109,Mafra,11,Lisboa,PT170,AML,departures,080007|082006|082007|082008|082009
verificado,ok,251,R. Movimento das Forças Armadas 83,38.922621,-9.296402,2,São Miguel de Alcainça,1109,Mafra,11,Lisboa,PT170,AML,arrivals,080340
verificado,ok,252,R. Movimento das Forças Armadas Ft. 83,38.922906,-9.296322,2,São Miguel de Alcainça,1109,Mafra,11,Lisboa,PT170,AML,arrivals,080339
verificado,ok,256,R. das Labruscas,39.029643,-9.367741,2,Encarnação,1109,Mafra,11,Lisboa,PT170,AML,arrivals,080525
verificado,ok,257,Avenida 1 de Maio,38.651312,-9.038897,4,Vale da Amoreira,1506,Moita,15,Setúbal,PT170,AML,arrivals,090262
verificado,ok,259,Avenida Marginal (Câmara Municipal),38.652861,-8.994039,4,Moita,1506,Moita,15,Setúbal,PT170,AML,arrivals,090058
verificado,ok,263,EN11-Posto Combustivel,38.652915,-9.021126,4,Alhos Vedros,1506,Moita,15,Setúbal,PT170,AML,arrivals,090011
verificado,ok,264,Rua Joly Braga Santos (Parque Qta. da Fonte da Prata),38.655270,-9.009300,4,Fonte da Prata,1506,Moita,15,Setúbal,PT170,AML,arrivals,090007
verificado,ok,267,Av Infante D. Henriques - Escola Secundária,38.708878,-8.983556,4,Montijo,1507,Montijo,15,Setúbal,PT170,AML,arrivals,100087
verificado,sticker_missing,268,Via Circular Externa - Zona Comercial,38.696854,-8.945297,4,Afonsoeiro,1507,Montijo,15,Setúbal,PT170,AML,arrivals,100153
verificado,ok,269,Pr Gomes Freire de Andrade - P5,38.705777,-8.976562,4,Montijo,1507,Montijo,15,Setúbal,PT170,AML,arrivals,100027
verificado,ok,271,Avenida 5 de Outubro 5,38.678242,-8.968271,4,Sarilhos Grandes,1507,Montijo,15,Setúbal,PT170,AML,arrivals,100190
verificado,screen_damage,272,EN4 - Fte 489,38.706639,-8.924861,4,Atalaia,1507,Montijo,15,Setúbal,PT170,AML,arrivals,100290
verificado,ok,273,EN5 - Jardim,38.700075,-8.957360,4,Bela Vista,1507,Montijo,15,Setúbal,PT170,AML,arrivals,100006
verificado,ok,274,EN5 - Fte Jardim,38.699429,-8.957063,4,Bela Vista,1507,Montijo,15,Setúbal,PT170,AML,arrivals,100005
verificado,ok,275,EN251 - Largo Manuel Mauricio,38.765802,-8.626916,4,Canha,1507,Montijo,15,Setúbal,PT170,AML,arrivals,100203
verificado,structure_graffiti,276,Escola Secundária Poeta Joaquim Serra,38.703508,-8.952942,4,Afonsoeiro,1507,Montijo,15,Setúbal,PT170,AML,arrivals,100038
verificado,ok,277,Pegões (X) EN10,38.681967,-8.612434,4,Pegões,1507,Montijo,15,Setúbal,PT170,AML,arrivals,100235
verificado,sticker_missing,278,Av. Dr. Augusti Pais (Centro Comercial),38.781468,-9.193254,2,Odivelas,1116,Odivelas,11,Lisboa,PT170,AML,arrivals,110135
verificado,ok,279,Av. D. Dinis 8,38.789741,-9.176841,2,Odivelas,1116,Odivelas,11,Lisboa,PT170,AML,arrivals,110099|110411|110713
verificado,ok,280,Av. Prof. Dr. Augusto Abreu Lopes 52,38.794513,-9.179555,2,Odivelas,1116,Odivelas,11,Lisboa,PT170,AML,arrivals,110127
verificado,ok,281,R. Guilhermina Ascenso (X) R. Dr. João Santos,38.797214,-9.192369,2,Odivelas,1116,Odivelas,11,Lisboa,PT170,AML,arrivals,110070
verificado,ok,282,Av. da Liberdade (Ft. Escola),38.802898,-9.183703,2,Ramada,1116,Odivelas,11,Lisboa,PT170,AML,arrivals,110324
verificado,ok,283,R. Almirante Gago Coutinho (X) Av. 25 de Abril,38.797772,-9.161836,2,Póvoa de Santo Adrião,1116,Odivelas,11,Lisboa,PT170,AML,arrivals,110621
verificado,ok,284,Lg. Major Rosa Bastos,38.800000,-9.159829,2,Póvoa de Santo Adrião,1116,Odivelas,11,Lisboa,PT170,AML,arrivals,110619
verificado,ok,285,R. Regimento de Engenharia Um (Ft. Jd. de Infância),38.765067,-9.198128,2,Pontinha,1116,Odivelas,11,Lisboa,PT170,AML,arrivals,110045
verificado,ok,286,R. Regimento de Engenharia Um (X) R. Santo André,38.765260,-9.198243,2,Pontinha,1116,Odivelas,11,Lisboa,PT170,AML,arrivals,110697
verificado,ok,287,Rt. Senhor Roubado,38.787008,-9.170508,2,Olival Basto,1116,Odivelas,11,Lisboa,PT170,AML,arrivals,110113
verificado,ok,290,Odivelas (Metro) P5,38.792672,-9.172491,2,Odivelas,1116,Odivelas,11,Lisboa,PT170,AML,departures,110095|111025|110393|111026
verificado,ok,291,Odivelas (Metro) P10,38.792470,-9.173751,2,Odivelas,1116,Odivelas,11,Lisboa,PT170,AML,arrivals,110409|110097|110410
verificado,ok,293,R. Alfredo da Costa (Ft. Pq. Infantil),38.788756,-9.191120,2,Odivelas,1116,Odivelas,11,Lisboa,PT170,AML,arrivals,110337
verificado,ok,294,R. Santo Estevão (X) R. Qta. da Silveira,38.792964,-9.217050,2,Famões,1116,Odivelas,11,Lisboa,PT170,AML,arrivals,110766
verificado,ok,295,Rua Amália Rodrigues (X) R. Hermínia Silva,38.812716,-9.188065,2,Ramada,1116,Odivelas,11,Lisboa,PT170,AML,arrivals,110313
verificado,ok,323,Rua Manuel Caetano,38.567300,-8.940715,4,Quinta do Anjo,1508,Palmela,15,Setúbal,PT170,AML,departures,130081
verificado,screen_graffiti,324,Palmela (Terminal Rodoviário),38.570311,-8.905096,4,Palmela,1508,Palmela,15,Setúbal,PT170,AML,arrivals,|130802|130803|130804|130805|130806|130807|130808|130809|130810
verificado,ok,325,EN 379 - X - EN 252,38.576385,-8.889908,4,Volta da Pedra,1508,Palmela,15,Setúbal,PT170,AML,arrivals,130017
verificado,ok,326,EN379 X EN252,38.576509,-8.889774,4,Volta da Pedra,1508,Palmela,15,Setúbal,PT170,AML,arrivals,130018
verificado,ok,330,Rua 25 Abril - Ringue,38.599233,-9.004544,4,Bairro Alentejano,1508,Palmela,15,Setúbal,PT170,AML,arrivals,130684
