type,filter_value,total,phone,email,info_request,complaints,other,last_update
line,1706,17,9,8,0,17,0,20260406
line,1707,25,12,13,0,25,0,20260406
line,1708,2,0,2,0,2,0,20260406
line,1709,11,2,9,0,10,1,20260406
line,1710,5,1,4,0,5,0,20260406
line,1711,8,4,4,0,7,1,20260406
line,1712,8,6,2,0,8,0,20260406
line,1713,24,7,17,0,24,0,20260406
line,1714,7,4,3,0,7,0,20260406
line,1715,27,19,8,0,27,0,20260406
line,1716,14,9,5,0,13,1,20260406
line,1717,16,3,13,0,16,0,20260406
line,1718,6,6,0,0,6,0,20260406
line,1719,13,2,11,0,13,0,20260406
line,1720,15,7,8,0,14,1,20260406
line,1721,10,7,3,0,9,1,20260406
line,1722,11,4,7,0,9,2,20260406
line,1723,8,3,5,0,8,0,20260406
line,1724,20,4,16,0,18,2,20260406
line,1725,8,3,5,0,7,1,20260406
line,1726,11,9,2,0,11,0,20260406
line,1727,5,5,0,0,5,0,20260406
line,1729,21,0,21,0,21,0,20260406
line,1730,2,0,2,0,2,0,20260406
line,1731,2,0,2,0,1,1,20260406
line,1733,30,11,19,0,30,0,20260406
line,2003,2,0,2,0,2,0,20260406
line,2011,3,3,0,0,3,0,20260406
line,2024,1,0,1,0,0,1,20260406
line,2032,2,0,2,0,2,0,20260406
line,2034,2,1,1,0,2,0,20260406
line,2036,2,2,0,0,0,2,20260406
line,2037,2,0,2,0,2,0,20260406
line,2103,9,9,0,0,9,0,20260406
line,2109,1,0,1,0,0,1,20260406
line,2117,3,3,0,0,3,0,20260406
line,2126,1,1,0,0,1,0,20260406
line,2130,1,0,1,0,0,1,20260406
line,2133,4,2,2,0,4,0,20260406
line,2142,2,2,0,0,2,0,20260406
line,2147,1,0,1,0,0,1,20260406
line,2151,2,2,0,0,2,0,20260406
line,2206,1,0,1,0,1,0,20260406
line,2207,2,1,1,0,2,0,20260406
line,2209,6,2,4,0,6,0,20260406
line,2210,8,2,6,0,8,0,20260406
line,2215,3,0,3,0,3,0,20260406
line,2217,2,1,1,0,1,1,20260406
line,2220,4,0,4,0,4,0,20260406
line,2221,1,0,1,0,1,0,20260406
line,2222,3,3,0,0,3,0,20260406
line,2223,3,3,0,0,2,1,20260406
line,2301,2,0,2,0,2,0,20260406
line,2303,10,5,5,0,10,0,20260406
line,2304,1,0,1,0,1,0,20260406
line,2306,8,6,2,0,8,0,20260406
line,2308,4,2,2,0,4,0,20260406
line,2309,9,2,7,0,9,0,20260406
line,2310,6,0,6,0,5,1,20260406
line,2313,1,0,1,0,1,0,20260406
line,2317,2,0,2,0,2,0,20260406
line,2318,2,0,2,0,2,0,20260406
line,2327,3,0,3,0,3,0,20260406
line,2328,9,8,1,0,8,1,20260406
line,2331,1,0,1,0,1,0,20260406
line,2333,1,1,0,0,0,1,20260406
line,2505,3,0,3,0,2,1,20260406
line,2518,6,0,6,0,6,0,20260406
line,2519,1,1,0,0,1,0,20260406
line,2523,1,0,1,0,0,1,20260406
line,2524,5,3,2,0,5,0,20260406
line,2532,25,14,11,0,24,1,20260406
line,2533,3,2,1,0,3,0,20260406
line,2536,3,0,3,0,3,0,20260406
line,2537,8,3,5,0,8,0,20260406
line,2601,1,0,1,0,1,0,20260406
line,2605,3,0,3,0,3,0,20260406
line,2611,1,0,1,0,0,1,20260406
line,2620,4,2,2,0,4,0,20260406
line,2626,11,4,7,0,10,1,20260406
line,2632,5,3,2,0,5,0,20260406
line,2702,2,0,2,0,2,0,20260406
line,2706,22,6,16,0,22,0,20260406
line,2708,3,0,3,0,2,1,20260406
line,2710,12,5,7,0,12,0,20260406
line,2711,26,15,11,0,26,0,20260406
line,2713,5,3,2,0,5,0,20260406
line,2714,8,2,6,0,7,1,20260406
line,2715,6,4,2,0,6,0,20260406
line,2716,9,6,3,0,9,0,20260406
line,2717,15,15,0,0,15,0,20260406
line,2718,6,2,4,0,6,0,20260406
line,2719,2,0,2,0,2,0,20260406
line,2720,5,2,3,0,5,0,20260406
line,2722,8,5,3,0,5,3,20260406
line,2723,3,0,3,0,3,0,20260406
line,2724,3,0,3,0,3,0,20260406
line,2725,7,1,6,0,6,1,20260406
line,2727,2,2,0,0,2,0,20260406
line,2729,3,0,3,0,3,0,20260406
line,2730,10,2,8,0,7,3,20260406
line,2733,2,0,2,0,2,0,20260406
line,2740,23,6,17,0,22,1,20260406
line,2741,1,0,1,0,1,0,20260406
line,2746,2,2,0,0,2,0,20260406
line,2750,16,7,9,0,13,3,20260406
line,2751,5,0,5,0,4,1,20260406
line,2753,3,0,3,0,3,0,20260406
line,2754,2,0,2,0,0,2,20260406
line,2758,1,0,1,0,1,0,20260406
line,2761,3,3,0,0,3,0,20260406
line,2762,3,2,1,0,3,0,20260406
line,2764,1,0,1,0,1,0,20260406
line,2765,3,3,0,0,3,0,20260406
line,2769,4,0,4,0,3,1,20260406
line,2770,6,1,5,0,6,0,20260406
line,2772,5,4,1,0,4,1,20260406
line,2776,9,6,3,0,7,2,20260406
line,2780,11,4,7,0,10,1,20260406
line,2781,7,4,3,0,7,0,20260406
line,2785,1,1,0,0,1,0,20260406
line,2790,28,6,22,0,27,1,20260406
line,2792,28,11,17,0,27,1,20260406
line,2793,14,5,9,0,14,0,20260406
line,2794,20,5,15,0,18,2,20260406
line,2795,5,0,5,0,4,1,20260406
line,2796,6,0,6,0,4,2,20260406
line,2797,8,2,6,0,8,0,20260406
line,2801,9,2,7,0,9,0,20260406
line,2802,5,0,5,0,5,0,20260406
line,2803,7,5,2,0,6,1,20260406
line,2804,12,1,11,0,12,0,20260406
line,2805,4,4,0,0,4,0,20260406
line,2811,9,3,6,0,7,2,20260406
line,2812,11,6,5,0,11,0,20260406
line,2814,2,2,0,0,2,0,20260406
line,2817,4,0,4,0,4,0,20260406
line,2818,1,0,1,0,1,0,20260406
line,2821,8,4,4,0,8,0,20260406
line,2824,6,2,4,0,5,1,20260406
line,2831,4,0,4,0,4,0,20260406
line,2841,7,1,6,0,6,1,20260406
line,2842,2,0,2,0,2,0,20260406
line,2901,3,0,3,0,2,1,20260406
line,2910,2,2,0,0,2,0,20260406
line,2921,3,0,3,0,3,0,20260406
line,2926,6,6,0,0,6,0,20260406
line,2928,5,2,3,0,5,0,20260406
line,3001,3,3,0,0,3,0,20260406
line,3003,2,0,2,0,2,0,20260406
line,3004,7,5,2,0,7,0,20260406
line,3009,2,2,0,0,2,0,20260406
line,3011,8,6,2,0,8,0,20260406
line,3012,8,3,5,0,5,3,20260406
line,3013,4,2,2,0,4,0,20260406
line,3017,1,0,1,0,1,0,20260406
line,3019,8,8,0,0,8,0,20260406
line,3021,8,4,4,0,8,0,20260406
line,3022,8,1,7,0,7,1,20260406
line,3023,3,2,1,0,2,1,20260406
line,3024,8,3,5,0,8,0,20260406
line,3026,8,8,0,0,8,0,20260406
line,3027,3,0,3,0,3,0,20260406
line,3030,6,4,2,0,5,1,20260406
line,3033,4,2,2,0,4,0,20260406
line,3101,6,0,6,0,6,0,20260406
line,3103,3,0,3,0,3,0,20260406
line,3105,26,11,15,0,25,1,20260406
line,3106,9,2,7,0,9,0,20260406
line,3108,11,6,5,0,11,0,20260406
line,3109,3,3,0,0,2,1,20260406
line,3110,1,0,1,0,1,0,20260406
line,3111,13,9,4,0,12,1,20260406
line,3112,10,6,4,0,10,0,20260406
line,3113,3,0,3,0,3,0,20260406
line,3114,1,0,1,0,0,1,20260406
line,3116,14,4,10,0,14,0,20260406
line,3118,9,3,6,0,8,1,20260406
line,3119,30,8,22,0,30,0,20260406
line,3120,7,2,5,0,7,0,20260406
line,3207,2,2,0,0,2,0,20260406
line,3209,1,0,1,0,1,0,20260406
line,3212,1,1,0,0,1,0,20260406
line,3213,3,1,2,0,3,0,20260406
line,3214,3,0,3,0,3,0,20260406
line,3215,2,0,2,0,2,0,20260406
line,3221,8,3,5,0,8,0,20260406
line,3504,3,0,3,0,3,0,20260406
line,3506,7,2,5,0,7,0,20260406
line,3507,4,4,0,0,4,0,20260406
line,3508,2,2,0,0,2,0,20260406
line,3509,1,1,0,0,0,1,20260406
line,3512,3,3,0,0,3,0,20260406
line,3513,1,1,0,0,1,0,20260406
line,3514,3,0,3,0,3,0,20260406
line,3515,10,8,2,0,10,0,20260406
line,3516,2,0,2,0,2,0,20260406
line,3517,4,3,1,0,3,1,20260406
line,3518,1,0,1,0,0,1,20260406
line,3521,3,0,3,0,2,1,20260406
line,3523,2,0,2,0,2,0,20260406
line,3524,3,3,0,0,3,0,20260406
line,3525,12,5,7,0,11,1,20260406
line,3526,16,0,16,0,16,0,20260406
line,3527,4,0,4,0,4,0,20260406
line,3535,3,3,0,0,3,0,20260406
line,3536,5,2,3,0,4,1,20260406
line,3540,5,0,5,0,5,0,20260406
line,3543,3,0,3,0,3,0,20260406
line,3544,13,0,13,0,13,0,20260406
line,3601,8,2,6,0,8,0,20260406
line,3605,10,0,10,0,10,0,20260406
line,3615,5,3,2,0,5,0,20260406
line,3620,16,6,10,0,14,2,20260406
line,3625,1,1,0,0,1,0,20260406
line,3626,2,2,0,0,2,0,20260406
line,3630,1,0,1,0,1,0,20260406
line,3635,7,0,7,0,6,1,20260406
line,3641,1,1,0,0,1,0,20260406
line,3701,9,2,7,0,9,0,20260406
line,3702,5,0,5,0,4,1,20260406
line,3703,13,5,8,0,13,0,20260406
line,3704,5,1,4,0,5,0,20260406
line,3705,4,2,2,0,4,0,20260406
line,3706,2,0,2,0,2,0,20260406
line,3708,5,2,3,0,3,2,20260406
line,3710,12,2,10,0,12,0,20260406
line,3715,10,2,8,0,10,0,20260406
line,3716,7,0,7,0,7,0,20260406
line,3717,15,1,14,0,15,0,20260406
line,3720,11,0,11,0,11,0,20260406
line,3721,9,1,8,0,8,1,20260406
line,4101,4,2,2,0,4,0,20260406
line,4102,4,2,2,0,4,0,20260406
line,4103,5,4,1,0,5,0,20260406
line,4203,5,2,3,0,5,0,20260406
line,4204,9,0,9,0,9,0,20260406
line,4205,5,0,5,0,5,0,20260406
line,4208,4,0,4,0,4,0,20260406
line,4212,1,0,1,0,1,0,20260406
line,4303,4,2,2,0,4,0,20260406
line,4304,4,3,1,0,4,0,20260406
line,4307,1,0,1,0,1,0,20260406
line,4310,2,0,2,0,2,0,20260406
line,4312,9,9,0,0,9,0,20260406
line,4320,3,0,3,0,3,0,20260406
line,4321,14,7,7,0,14,0,20260406
line,4402,2,0,2,0,2,0,20260406
line,4403,6,6,0,0,6,0,20260406
line,4404,2,0,2,0,2,0,20260406
line,4405,1,1,0,0,1,0,20260406
line,4407,2,2,0,0,2,0,20260406
line,4409,7,0,7,0,6,1,20260406
line,4410,4,0,4,0,4,0,20260406
line,4412,1,0,1,0,1,0,20260406
line,4414,13,10,3,0,13,0,20260406
line,4415,12,0,12,0,12,0,20260406
line,4422,16,9,7,0,16,0,20260406
line,4426,22,9,13,0,22,0,20260406
line,4427,4,0,4,0,4,0,20260406
line,4432,7,3,4,0,7,0,20260406
line,4434,10,7,3,0,10,0,20260406
line,4435,1,1,0,0,1,0,20260406
line,4436,2,0,2,0,2,0,20260406
line,4437,1,0,1,0,1,0,20260406
line,4438,14,12,2,0,14,0,20260406
line,4439,4,0,4,0,4,0,20260406
line,4440,7,2,5,0,7,0,20260406
line,4441,4,0,4,0,4,0,20260406
line,4451,1,0,1,0,1,0,20260406
line,4501,27,11,16,0,27,0,20260406
line,4504,19,5,14,0,19,0,20260406
line,4512,56,21,35,0,53,3,20260406
line,4514,4,2,2,0,4,0,20260406
line,4516,1,1,0,0,1,0,20260406
line,4520,9,5,4,0,9,0,20260406
line,4521,9,9,0,0,9,0,20260406
line,4531,6,3,3,0,6,0,20260406
line,4532,12,8,4,0,12,0,20260406
line,4542,1,1,0,0,1,0,20260406
line,4544,3,1,2,0,3,0,20260406
line,4551,2,0,2,0,2,0,20260406
line,4560,7,4,3,0,7,0,20260406
line,4562,10,2,8,0,10,0,20260406
line,4600,52,21,31,0,50,2,20260406
line,4602,30,16,14,0,30,0,20260406
line,4604,13,12,1,0,13,0,20260406
line,4610,4,4,0,0,4,0,20260406
line,4611,24,17,7,0,24,0,20260406
line,4612,5,0,5,0,5,0,20260406
line,4620,6,0,6,0,6,0,20260406
line,4621,24,18,6,0,23,1,20260406
line,4641,3,0,3,0,2,1,20260406
line,4701,100,29,71,0,93,7,20260406
line,4702,82,24,58,0,81,1,20260406
line,4703,1,1,0,0,1,0,20260406
line,4704,79,34,45,0,77,2,20260406
line,4705,43,10,33,0,43,0,20260406
line,4706,19,4,15,0,18,1,20260406
line,4707,11,2,9,0,11,0,20260406
line,4710,100,37,63,0,96,4,20260406
line,4720,80,13,67,0,77,3,20260406
line,4725,75,33,42,0,68,7,20260406
line,4901,2,2,0,0,2,0,20260406
line,4905,3,3,0,0,3,0,20260406
line,,4138,2803,1249,2562,629,853,20260406
muncipality,,1715,790,925,560,983,172,20260406
