id,name,lat,lon,area,locality,municipality_id,municipality_name,district_id,district_name,region_id,region_name,stops,status,verification_status
141,Pç. Fernando Calhau (Centro Comercial),38.776999,-9.218089,1,Brandoa,1115,Amadora,11,Lisboa,PT170,AML,030849|030273|030870,1.ª Fase - Exteriores,Instalado e Verificado
142,Escola Secundária Azevedo Neves,38.744962,-9.226662,1,Amadora,1115,Amadora,11,Lisboa,PT170,AML,030113,1.ª Fase - Exteriores,Instalado e Verificado
143,R. Elias Garcia (Ft. Farmácia),38.753574,-9.210447,1,Amadora,1115,Amadora,11,Lisboa,PT170,AML,030300,1.ª Fase - Exteriores,Instalado e Verificado
144,Hospital Amadora Sintra,38.745369,-9.245924,1,Amadora,1115,Amadora,11,Lisboa,PT170,AML,030847|030846|030311,1.ª Fase - Exteriores,Instalado e Verificado
145,Av. da Aviação Portuguesa (Ft. Escola),38.754312,-9.233296,1,Amadora,1115,Amadora,11,Lisboa,PT170,AML,030541,1.ª Fase - Exteriores,Instalado e Verificado
146,Rua Elias Garcia (Escola),38.760548,-9.247942,1,Amadora,1115,Amadora,11,Lisboa,PT170,AML,030328,1.ª Fase - Exteriores,Instalado e Verificado
147,Rua Elias Garcia (Ft. Escola),38.760733,-9.247919,1,Amadora,1115,Amadora,11,Lisboa,PT170,AML,030327,1.ª Fase - Exteriores,Instalado e Verificado
148,Amadora (Estação) Sul,38.758090,-9.234609,1,Amadora,1115,Amadora,11,Lisboa,PT170,AML,030845|030317|030869|030821,1.ª Fase - Exteriores,Instalado e Verificado
149,Estr. Brandoa (Pq.),38.765366,-9.213197,1,Brandoa,1115,Amadora,11,Lisboa,PT170,AML,030387|030737,1.ª Fase - Exteriores,Instalado e Verificado
150,R. Elias Garcia 362,38.759300,-9.238000,1,Amadora,1115,Amadora,11,Lisboa,PT170,AML,030475,1.ª Fase - Exteriores,Instalado e Verificado
151,R. Elias Garcia (Pq.),38.758944,-9.237125,1,Amadora,1115,Amadora,11,Lisboa,PT170,AML,030319|030880,1.ª Fase - Exteriores,Instalado e Verificado
152,R. Oliveira Martins 7,38.767249,-9.232002,1,Amadora,1115,Amadora,11,Lisboa,PT170,AML,030135,1.ª Fase - Exteriores,Instalado e Verificado
153,Av. Cardoso Lopes 27,38.760690,-9.237166,1,Amadora,1115,Amadora,11,Lisboa,PT170,AML,030843|030687|030842|030119,1.ª Fase - Exteriores,Instalado e Verificado
154,Relobeira (Estação),38.750373,-9.221809,1,Amadora,1115,Amadora,11,Lisboa,PT170,AML,030861,1.ª Fase - Exteriores,Instalado e Verificado
156,Avenida Bocage - Supermercado,38.656252,-9.060198,4,Barreiro,1504,Barreiro,15,Setúbal,PT170,AML,040006,1.ª Fase - Exteriores,Instalado e Verificado
157,Avenida Bocage - Ft Supermercado,38.656448,-9.060372,4,Barreiro,1504,Barreiro,15,Setúbal,PT170,AML,040005,1.ª Fase - Exteriores,Instalado e Verificado
158,Coina (Zona Comercial),38.581492,-9.044231,4,Coina,1504,Barreiro,15,Setúbal,PT170,AML,040118,1.ª Fase - Exteriores,Instalado e Verificado
159,Coina (Ft. Zona Comercial),38.581298,-9.044128,4,Coina,1504,Barreiro,15,Setúbal,PT170,AML,040119,1.ª Fase - Exteriores,Instalado e Verificado
160,Nova SBE Carcavelos,38.679626,-9.327743,1,Carcavelos,1105,Cascais,11,Lisboa,PT170,AML,050421,1.ª Fase - Exteriores,Instalado por Verificar
163,Hospital de Cascais,38.728754,-9.418492,1,,1105,Cascais,11,Lisboa,PT170,AML,050233,1.ª Fase - Exteriores,Instalado por Verificar
164,R Conde Barão (Hospital),38.732112,-9.400847,1,,1105,Cascais,11,Lisboa,PT170,AML,050192,1.ª Fase - Exteriores,Instalado por Verificar
165,Centro de Reabilitação de Alcoitão,38.732043,-9.400385,1,,1105,Cascais,11,Lisboa,PT170,AML,050191,1.ª Fase - Exteriores,Instalado por Verificar
166,Av República 1400 (Estação Parede),38.690385,-9.356209,1,,1105,Cascais,11,Lisboa,PT170,AML,050047,1.ª Fase - Exteriores,Instalado por Verificar
167,Av D F Sá Carneiro 858 (Escola),38.699490,-9.336267,1,,1105,Cascais,11,Lisboa,PT170,AML,050055,1.ª Fase - Exteriores,Instalado por Verificar
168,Av D Franc Sá Carneiro 729a - Esc. Sec. Carcavelos,38.699321,-9.335173,1,,1105,Cascais,11,Lisboa,PT170,AML,050021,1.ª Fase - Exteriores,Instalado por Verificar
170,Parede Terminal Rodoviário,38.691727,-9.359243,1,,1105,Cascais,11,Lisboa,PT170,AML,050046,1.ª Fase - Exteriores,Instalado por Verificar
171,Estoril (Estação Cp),38.703410,-9.398365,1,,1105,Cascais,11,Lisboa,PT170,AML,050359|050018,1.ª Fase - Exteriores,Instalado por Verificar
172,Av Condes Barcelona (Esc Hotelaria),38.714489,-9.390453,1,,1105,Cascais,11,Lisboa,PT170,AML,050369,1.ª Fase - Exteriores,Instalado por Verificar
173,Alcoitão (Rotunda),38.737683,-9.395431,1,,1105,Cascais,11,Lisboa,PT170,AML,050203,1.ª Fase - Exteriores,Instalado por Verificar
174,Alcoitão (Rotunda),38.737707,-9.394918,1,,1105,Cascais,11,Lisboa,PT170,AML,050197,1.ª Fase - Exteriores,Instalado por Verificar
205,Quinta Casal da Pipa (Centro Comercial),38.819937,-9.176507,2,Loures,1107,Loures,11,Lisboa,PT170,AML,070470,1.ª Fase - Exteriores,Instalado e Verificado
206,Hospital Beatriz Ângelo,38.824004,-9.176927,2,Loures,1107,Loures,11,Lisboa,PT170,AML,070373,1.ª Fase - Exteriores,Instalado por Verificar
207,Ft. Escola Básica Frielas,38.825643,-9.143003,2,Frielas,1107,Loures,11,Lisboa,PT170,AML,070495,1.ª Fase - Exteriores,Instalado e Verificado
208,Largo Marcos Romão Reis Junior,38.828903,-9.166948,2,Loures,1107,Loures,11,Lisboa,PT170,AML,070032,1.ª Fase - Exteriores,Instalado e Verificado
209,Rua da República (Campo de Futebol),38.828624,-9.165098,2,Loures,1107,Loures,11,Lisboa,PT170,AML,070250,1.ª Fase - Exteriores,Instalado e Verificado
210,R. da República (Escola),38.828011,-9.164238,2,Loures,1107,Loures,11,Lisboa,PT170,AML,070035,1.ª Fase - Exteriores,Instalado e Verificado
211,Av. Moscavide (Igreja),38.779477,-9.102591,2,Moscavide,1107,Loures,11,Lisboa,PT170,AML,070585,1.ª Fase - Exteriores,Instalado e Verificado
213,N115 (X) R. Marechal Carmona,38.842509,-9.162942,2,Loures,1107,Loures,11,Lisboa,PT170,AML,070538,1.ª Fase - Exteriores,Instalado e Verificado
214,Av. das Descobertas (Supermercado),38.841744,-9.161322,2,Loures,1107,Loures,11,Lisboa,PT170,AML,070443,1.ª Fase - Exteriores,Instalado e Verificado
215,Avenida das Descobertas Frente 73,38.837173,-9.157262,2,Infantado,1107,Loures,11,Lisboa,PT170,AML,070383,1.ª Fase - Exteriores,Instalado e Verificado
217,R. da República (Jardim),38.831853,-9.171529,2,Loures,1107,Loures,11,Lisboa,PT170,AML,070027,1.ª Fase - Exteriores,Instalado e Verificado
218,Rua Professor Egas Moniz (Centro de Saúde),38.825439,-9.163079,2,Loures,1107,Loures,11,Lisboa,PT170,AML,070043,1.ª Fase - Exteriores,Instalado e Verificado
219,N8 (X) Av. Salgado Zenha,38.806839,-9.157564,2,Santo António dos Cavaleiros,1107,Loures,11,Lisboa,PT170,AML,071134,1.ª Fase - Exteriores,Instalado e Verificado
