operator_id,date,line_id,stop_id,validations
41,2023-12-31,1001,030009,2
41,2023-12-31,1001,030011,1
41,2023-12-31,1001,030013,2
41,2023-12-31,1001,030015,1
41,2023-12-31,1001,030019,2
41,2023-12-31,1001,030021,2
41,2023-12-31,1001,030025,1
41,2023-12-31,1001,030029,1
41,2023-12-31,1001,030030,2
41,2023-12-31,1001,030031,4
41,2023-12-31,1001,030032,1
41,2023-12-31,1001,030041,1
41,2023-12-31,1001,030043,6
41,2023-12-31,1001,030047,4
41,2023-12-31,1001,030049,8
41,2023-12-31,1001,030844,3
41,2023-12-31,1002,030071,1
41,2023-12-31,1002,030081,1
41,2023-12-31,1002,030086,1
41,2023-12-31,1002,030088,1
41,2023-12-31,1002,030095,1
41,2023-12-31,1002,030103,2
41,2023-12-31,1002,030105,5
41,2023-12-31,1002,030107,2
41,2023-12-31,1002,030109,1
41,2023-12-31,1002,030111,1
41,2023-12-31,1002,030116,1
41,2023-12-31,1002,030843,4
41,2023-12-31,1003,030119,16
41,2023-12-31,1003,030121,2
41,2023-12-31,1003,030125,1
41,2023-12-31,1003,030135,13
41,2023-12-31,1003,030137,3
41,2023-12-31,1003,030157,1
41,2023-12-31,1003,030161,1
41,2023-12-31,1003,030167,14
41,2023-12-31,1003,030168,1
41,2023-12-31,1003,030171,1
41,2023-12-31,1003,030177,1
41,2023-12-31,1003,030180,4
41,2023-12-31,1003,030181,1
41,2023-12-31,1003,030183,2
41,2023-12-31,1003,030184,2
41,2023-12-31,1003,030186,4
41,2023-12-31,1003,030245,2
41,2023-12-31,1005,030101,71
41,2023-12-31,1005,030103,15
41,2023-12-31,1005,030119,708
41,2023-12-31,1005,030135,31
41,2023-12-31,1005,030136,15
41,2023-12-31,1005,030167,61
41,2023-12-31,1005,030168,16
41,2023-12-31,1005,030171,1
41,2023-12-31,1005,030173,2
41,2023-12-31,1005,030175,13
41,2023-12-31,1005,030181,28
41,2023-12-31,1005,030182,9
41,2023-12-31,1005,030183,55
41,2023-12-31,1005,030184,18
41,2023-12-31,1005,030185,51
41,2023-12-31,1005,030186,81
41,2023-12-31,1005,030247,14
41,2023-12-31,1005,030249,2
41,2023-12-31,1005,030251,20
41,2023-12-31,1005,030253,396
41,2023-12-31,1005,030255,33
41,2023-12-31,1005,030851,90
41,2023-12-31,1005,030854,5
41,2023-12-31,1005,030855,1
41,2023-12-31,1006,030103,2
41,2023-12-31,1006,030119,28
41,2023-12-31,1006,030135,2
41,2023-12-31,1006,030167,1
41,2023-12-31,1006,030173,1
41,2023-12-31,1006,030180,2
41,2023-12-31,1006,030181,1
41,2023-12-31,1006,030182,5
41,2023-12-31,1006,030183,1
41,2023-12-31,1006,030185,1
41,2023-12-31,1006,030187,1
41,2023-12-31,1006,030218,3
41,2023-12-31,1006,030233,1
41,2023-12-31,1006,030237,1
41,2023-12-31,1006,030239,2
41,2023-12-31,1006,030851,1
41,2023-12-31,1009,030121,1
41,2023-12-31,1009,030323,1
41,2023-12-31,1009,030343,1
41,2023-12-31,1009,030842,5
41,2023-12-31,1009,030847,1
41,2023-12-31,1011,030287,1
41,2023-12-31,1011,030377,1
41,2023-12-31,1011,030379,8
41,2023-12-31,1011,030381,2
41,2023-12-31,1011,030387,23
41,2023-12-31,1011,030389,9
41,2023-12-31,1011,030390,1
41,2023-12-31,1011,030391,2
41,2023-12-31,1011,030393,1
41,2023-12-31,1011,030398,2
41,2023-12-31,1011,030408,3
41,2023-12-31,1011,030852,6
41,2023-12-31,1011,030882,1
41,2023-12-31,1014,030111,4
41,2023-12-31,1014,030319,2
41,2023-12-31,1014,030322,1
41,2023-12-31,1014,030323,1
41,2023-12-31,1014,030328,1
41,2023-12-31,1014,030334,1
41,2023-12-31,1014,030437,1
41,2023-12-31,1014,030441,2
41,2023-12-31,1014,030458,1
41,2023-12-31,1014,030471,2
41,2023-12-31,1014,030624,1
41,2023-12-31,1014,030867,1
41,2023-12-31,1101,120001,27
41,2023-12-31,1101,120003,2
41,2023-12-31,1101,120005,2
41,2023-12-31,1101,120007,4
41,2023-12-31,1101,120008,1
41,2023-12-31,1101,120011,2
41,2023-12-31,1101,120013,1
41,2023-12-31,1101,120015,2
41,2023-12-31,1101,120016,1
41,2023-12-31,1101,120017,7
41,2023-12-31,1101,120019,4
41,2023-12-31,1101,120021,1
41,2023-12-31,1101,120023,2
41,2023-12-31,1101,120025,6
